code,type,name,units,term 1,term 2,term 3,prereq 1,prereq 2,prereq 3,prereq 4,prereq 5,concurrent ok,special prereq,options,,,,,,,,,,,,,,,,,,
MSE421,technical elective option,Advanced Vibration,3,Fall,Spring,Summer,MSE380,,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE422,technical elective option,Fuel Cell Systems ,3,Fall,Spring,Summer,MSE321,,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE423,technical elective option,Energy Conversion,3,Fall,Spring,Summer,MSE321,,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE424,technical elective option,Microfluidics ,3,Fall,Spring,Summer,MSE321,,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE425,technical elective option,Nano Manufacturing,3,Fall,Spring,Summer,CHEM120,PHYS141,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE426,technical elective option,Introduction to Engineering Design Optimization,3,Fall,Spring,Summer,MATH251,MSE320,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE427,technical elective option,Finite Element Analysis,3,Fall,Spring,Summer,MSE280,MSE380,MSE321,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE428,technical elective option,Design of Mechanism,3,Fall,Spring,Summer,MSE100,MSE222,,,,,,MSE4XX,,,,,,,,,,,,,,,,,,
MSE429,technical elective option,Advanced Kinematics for Robotic System,3,Fall,Spring,Summer,MSE222,,,,,,,MSE4XX,,,,,,,,,,,,,,,,,,
MSE450,technical elective option,Real-Time and Embedded Control Systems,3,Fall,Spring,Summer,MSE352,MSE381,,,,,90 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE451,technical elective option,Advanced Electronic Circuits,4,Fall,Spring,Summer,MSE251,,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE452,technical elective option,Power Conversion in Alternative Energy Systems,3,Fall,Spring,Summer,MSE353,,,,,,,MSE4XX,,,,,,,,,,,,,,,,,,
MSE480,technical elective option,Manufacturing Systems,3,Fall,Spring,Summer,MSE310,,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE481,technical elective option,Industrial Control Systems,3,Fall,Spring,Summer,MSE352,MSE381,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE483,technical elective option,Modern Control Systems,3,Fall,Spring,Summer,MSE381,,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
MSE490,technical elective option,Special Topic in Mechatronic Systems Engineering,3,Fall,Spring,Summer,,,,,,,???,MSE4XX,,,,,,,,,,,,,,,,,,
MSE491,technical elective option,Special Topic in Mechatronic Systems Engineering,3,Fall,Spring,Summer,,,,,,,???,MSE4XX,,,,,,,,,,,,,,,,,,
MSE492,technical elective option,Special Topic in Mechatronic Systems Engineering,4,Fall,Spring,Summer,,,,,,,???,MSE4XX,,,,,,,,,,,,,,,,,,
MSE493,coop option,Industrial Internship III,0,Fall,Spring,Summer,,,,,,,MSE393 or MSE394,COOP,,,,,,,,,,,,,,,,,,
MSE494,coop option,Special Internship III,0,Fall,Spring,Summer,,,,,,,MSE393 or MSE394,COOP,,,,,,,,,,,,,,,,,,
MSE4XX,technical elective,,0,Fall,Spring,Summer,,,,,,,,MSE420,MSE421,MSE422,MSE423,MSE424,MSE425,MSE426,MSE427,MSE428,MSE429,MSE450,MSE451,MSE452,MSE480,MSE481,MSE483,MSE490,MSE491,MSE492
MSE4XX2,technical elective,,0,Fall,Spring,Summer,,,,,,,,MSE420,MSE421,MSE422,MSE423,MSE424,MSE425,MSE426,MSE427,MSE428,MSE429,MSE450,MSE451,MSE452,MSE480,MSE481,MSE483,MSE490,MSE491,MSE492
MSE4XX3,technical elective,,0,Fall,Spring,Summer,,,,,,,,MSE420,MSE421,MSE422,MSE423,MSE424,MSE425,MSE426,MSE427,MSE428,MSE429,MSE450,MSE451,MSE452,MSE480,MSE481,MSE483,MSE490,MSE491,MSE492
MSE4XX4,technical elective,,0,Fall,Spring,Summer,,,,,,,,MSE420,MSE421,MSE422,MSE423,MSE424,MSE425,MSE426,MSE427,MSE428,MSE429,MSE450,MSE451,MSE452,MSE480,MSE481,MSE483,MSE490,MSE491,MSE492
MSE4XX5,technical elective,,0,Fall,Spring,Summer,,,,,,,,MSE420,MSE421,MSE422,MSE423,MSE424,MSE425,MSE426,MSE427,MSE428,MSE429,MSE450,MSE451,MSE452,MSE480,MSE481,MSE483,MSE490,MSE491,MSE492
MSE4XX6,technical elective,,0,Fall,Spring,Summer,,,,,,,,MSE420,MSE421,MSE422,MSE423,MSE424,MSE425,MSE426,MSE427,MSE428,MSE429,MSE450,MSE451,MSE452,MSE480,MSE481,MSE483,MSE490,MSE491,MSE492
MSE4XX7,technical elective,,0,Fall,Spring,Summer,,,,,,,,MSE420,MSE421,MSE422,MSE423,MSE424,MSE425,MSE426,MSE427,MSE428,MSE429,MSE450,MSE451,MSE452,MSE480,MSE481,MSE483,MSE490,MSE491,MSE492
MSE4XX8,technical elective,,0,Fall,Spring,Summer,,,,,,,,MSE420,MSE421,MSE422,MSE423,MSE424,MSE425,MSE426,MSE427,MSE428,MSE429,MSE450,MSE451,MSE452,MSE480,MSE481,MSE483,MSE490,MSE491,MSE492
PHYS140,course,Studio Physics - Mechanics and Modern Physics,4,Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYS141,course,Studio Physics - Optics Electricity and Magnetism,4,Spring,,,PHYS140,,,,,,,,,,,,,,,,,,,,,,,,,
